title,genre,description,director,cast
Adrishya Jalakangal,Drama,"As humans, there is so much we cannot fathom about the world beyond, and are all restricted by our own perceptions of the metaphysical realm that exists beyond our reality. But what happens...See full summary»",Bijukumar Damodaran,"['Tovino Thomas', 'Indrans', 'Nimisha Sajayan']"
Hunt,Thriller,Follows Dr. Keerthy as he receives a case at a medical college that unfolds something that he was not expecting.,Shaji Kailas,"['Bhavana', 'Divya M. Nair', 'Renji Panicker', 'Ajmal Ameer']"
L353,Thriller,Add a Plot,Vivek,['Mohanlal']
Footage,Thriller,Add a Plot,Saiju Sreedharan,"['Manju Warrier', 'Vishak Nair', 'Gayathri Ashok']"
Joy Full Enjoy,"Comedy, Drama",Add a Plot,Akhil Kavungal,"['Aparna Das', 'Indrans', 'Johny Antony', 'Dhyan Sreenivasan']"
Thaara,Family,Add a Plot,Dheswin Prem,"['Anusree', 'Sreenivasan', 'Jude Anthany Joseph', 'Vijilesh Karayad']"
Zam Zam,"Comedy, Drama",A girl goes to her honeymoon alone after her marriage is canceled.,Neelakanta,"['Manjima Mohan', 'Baiju', 'Sunny Wayne', 'Muthumani']"
Writer,Drama,Add a Plot,Ravisankar,['Jayasurya']
The Dark Secret,"Drama, Thriller",Add a Plot,Jomon George,"['Sabu Mani', 'Santhosh Keezhattoor', ""Tony O'Sullivan""]"
Sabari,"Action, Drama, Family",Add a Plot,Anilkatz,"['Varalaxmi Sarathkumar', 'Ganesh Venkatraman', 'Shashank Siddamsetty', 'Mime Gopi']"
Shalamon,Comedy,Add a Plot,Jithin Padmanabhan,"['Dileesh Pothan', 'Anjali Nair', 'Geethi Sangeetha', 'Sudhi Koppa']"
Varavu,null,Add a Plot,Rakesh Mantodi,['Tovino Thomas']
Chera,null,Add a Plot,Lijin Jose,"['Lena', 'Nimisha Sajayan', 'Sajin Cherukayil', 'Remya Suresh']"
Action Hero Biju 2,"Action, Comedy",Add a Plot,Abrid Shine,"['Anu Emmanuel', 'Joju George', 'Nivin Pauly']"
Mindpower Manikuttan,Family,Add a Plot,Vishnu Sharma,"['Sudheesh', 'Janeesh']"
Untitled Mohanlal/Bhadran Project,"Action, Adventure, Drama",Add a Plot,Bhadran,"['R. Sarathkumar', 'Ramya Krishnan', 'Siddique']"
