title,genre,description,director,cast
100 Days of Love,"Comedy, Romance","A man, who just got dumped, falls in love with another girl who he bullied in his childhood.",Jenuse Mohamed,"['Dulquer Salmaan', 'Nithya Menen', 'Sekhar Menon', 'Aju Varghese']"
Anarkali,"Drama, Musical, Romance",The story of a Naval officer who falls in love with the gorgeous daughter of a harsh and disapproving Vice Admiral.,Sachy,"['Prithviraj Sukumaran', 'Biju Menon', 'Kabir Bedi', 'Priyal Gor']"
Pathemari,Drama,Narrates both the hardships and happiness that Gulf life has provided to Malayalees. The period from 1960 to the present form the context of the story.,Salim Ahmed,"['Mammootty', 'Sreenivasan', 'Jewel Mary', 'Joy Mathew']"
Bhaskar the Rascal,"Comedy, Drama, Family","Aadhi and Shivani are children of single-parents who want to enjoy the happiness of a complete family. In order to achieve this, they try to unite their parents but end up in trouble.",Siddique,"['Mammootty', 'Nayanthara', 'Sanoop Santhosh', 'Anikha Surendran']"
Two Countries,"Comedy, Drama",Ullas will do anything to make money and never hesitates to cheat people. His life takes a turn when he decides to marry an Indian woman who is settled in Canada.,Shafi,"['Dileep', 'Mamta Mohandas', 'Aju Varghese', 'Suraj Venjaramoodu']"
Namaste Bali,Drama,A woman gets cheated by a man after their arranged engagement. The woman finds that the man had travelled to Bali and sets off to it.,K.V. Bejoy,"['Roma Asrani', 'Aju Varghese', 'Balu Varghese', 'Manoj K. Jayan']"
Waiting,"Comedy, Drama","While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma.",Anu Menon,"['Naseeruddin Shah', 'Kalki Koechlin', 'Jennifer Antony', 'Ashish Bhatia']"
Amar Akbar Anthony,"Comedy, Crime, Drama","Amar, Akbar, and Anthony are close friends enjoying a carefree life in Kochi. Their perceptions and beliefs are shattered by an unexpected event; the resulting story forms the plot of the movie.",Nadirsha,"['Prithviraj Sukumaran', 'Jayasurya', 'Indrajith Sukumaran', 'Namitha Pramod']"
Ivan Maryadaraman,Comedy,"The lead character Raman, enacted by Dileep, is an employee in a rice mill in Pune. He used to carry goods from the mill to other places on a bicycle. Later he decides to buy an auto ...See full summary»",Suresh Divakar,"['Dileep', 'Nikki Galrani', 'Nagineedu', 'Kailash']"
Haram,"Drama, Romance","Balu realize that the helping hand that he offers to Isha, a colleague in distress, ended up in marriage. The initial euphoria over, as the couple settles down to a comfortable life, disagreements start crawling in.",Vinod Sukumaran,"['Fahadh Faasil', 'Radhika Apte', 'S.P. Sreekumar', 'Rajshri Deshpande']"
Ennu Ninte Moideen,"Biography, Drama, Romance","Based on the real-life love story of Moideen and Kanchanamala, which happened in the 1960s in the backdrop of Calicut.",R.S. Vimal,"['Prithviraj Sukumaran', 'Parvathy Thiruvothu', 'Saikumar', 'Tovino Thomas']"
Adi Kapyare Kootamani,"Comedy, Horror",The story revolves around a bunch of college students when a young woman gets stuck inside the boys hostel with no way out.,John Varghese,"['Dhyan Sreenivasan', 'Mukesh', 'Namitha Pramod', 'Aju Varghese']"
Kunjiramayanam,Comedy,"Kunjiraman (Vineeth) lives in a remote, old world village in Kerala named Desam, surrounded by greenery, myths and legends.",Basil Joseph,"['Vineeth Sreenivasan', 'Dhyan Sreenivasan', 'Aju Varghese', 'Neeraj Madhav']"
Appavum Veenjum,"Drama, Romance",The movie is basically about the equation that a young musician has with a middle aged couple. Sunny Wayne essays the role of the musician who comes across as a passionate and intense young man with his rugged looks and brooding silence.,Viswan,"['Ramya Krishnan', 'Sunny Wayne', 'Prathap Pothen', 'Reshma Rathore']"
Chaayam Poosiya Veedu,"Drama, Mystery","Gautam, a lonely old writer, comes face to face with the seductive Vishaya and the mysterious young man Rahul. A series of events are unleashed which make the old writer question every belief he has held about himself.",Santosh Babusenan,"['Satish Babusenan', 'K. Kaladharan', 'Neha Mahajan', 'Akram Mohammed', 'Abhijith U.B.']"
Kumbasaaram,Thriller,"Alby is an autorickshaw driver andis wife is Meera (Honey Rose). They pin all their hopes on their only son Jerry whose close friends are Rasool, Tinu, and Malu. The movie narrates the deep...See full summary»",Aneesh Anwar,"['Asha Aravind', 'Balachandran Chullikadu', 'Jayakrishnan', 'Jayasurya']"
Aadu,"Action, Comedy","Triumph in a local Tug-of-war tourney gifted Shaji Pappan and his gang, a cute but naughty little goat 'Pinky'. Their attempts to dump the goat, unknowingly, interrupts few groups of smugglers, who are in race for the 'Neelakodiveli'.",Midhun Manuel Thomas,"['Jayasurya', 'Saiju Kurup', 'Dharmajan Bolgatty', 'Sunny Wayne']"
Ozhivudivasathe Kali,"Crime, Drama",Inner demons begins to unravel when 5 friends get together for a booze party in a remote location.,Sanal Kumar Sasidharan,"['Pradeep Kumar', 'Gireesh Nair', 'Arun Nayar', 'Baiju Neto']"
Life of Josutty,Drama,"The life of a simple village boy, his first broken childhood relationship and his ridiculous adventures in New Zealand after getting marriage.",Jeethu Joseph,"['Dileep', 'Hareesh Peradi', 'Jyothi Krishna', 'Renjini Rupesh']"
Oru Vadakkan Selfie,"Comedy, Thriller","When his father asks him to manage their grocery store, Umesh leaves for Chennai to become a filmmaker. His life changes, after he takes a selfie with his neighbor and posts it online.",G. Prajith,"['Nivin Pauly', 'Aju Varghese', 'Vineeth Sreenivasan', 'Manjima Mohan']"
Su Su Sudhi Vathmeekam,Drama,"The movie narrates the story of Sudhi, who has a stuttering problem, from the ages of 4 to 40.",Ranjith Sankar,"['Jayasurya', 'Shivada Nair', 'Aju Varghese', 'Mukesh']"
Mili,Drama,"The story of Mili, an introvert girl who grows up to be a self made woman.",Rajesh Pillai,"['Nivin Pauly', 'Amala Paul', 'Praveena', 'Saikumar']"
Saaradhi,Thriller,An easy going ambulance driver gets a call to drive a dead body and the mourning relatives to a place that is far away. On the way he realizes that it is not exactly what is happening. He decides to run away from it. But can he?,Gopalan Manoj,"['Sunny Wayne', 'Beena Antony', 'Arun Kumar', 'Madhupal']"
Lukka Chuppi,Drama,"The film exhibits a get together of a group of friends after a long interval of 14 years. They discusses their naughty works, silly love stories, etc that happened during their college life with their life partners.",Bash Mohammed,"['Murali Gopy', 'Jayasurya', 'Joju George', 'Chinnu Kuruvila']"
Double Barrel,"Action, Comedy, Thriller",Two thugs accidentally set off a gang war over a pair of diamonds.,Lijo Jose Pellissery,"['Prithviraj Sukumaran', 'Indrajith Sukumaran', 'Arya', 'Chemban Vinod Jose']"
Lailaa O Lailaa,"Action, Thriller",Jayamohan is a business magnate who leads a hectic life. Things start going topsy-turvy when he gets married to Anjali. He begins facing problems that affect his business as well.,Joshiy,"['Mohanlal', 'Amala Paul', 'Sathyaraj', 'Kainaat Arora']"
Madhura Naranga,"Drama, Family, Romance",Jeevan (Kunchacko Boban) and Salim (Biju Menon) are taxi drivers in Gulf.They live in a small apartment which they share with Kumar (Neeraj Madhav). A Sri Lanka Native Thamara Enters their ...See full summary»,Sugeeth,"['Kunchacko Boban', 'Biju Menon', 'Parvathy Ratheesh', 'Neeraj Madhav']"
Ayal Njanalla,"Comedy, Romance","This film revolves around a businessman named Prakashan, whose family moved to Gujarat 15 years ago.",Vineeth Kumar,"['Fahadh Faasil', 'Mrudula Murali', 'T.G. Ravi', 'Divya Pillai']"
Chandrettan Evideya,"Comedy, Fantasy","Chandramohan keeps receiving calls from his wife asking for his whereabouts, much to his annoyance.",Sidharth Bharathan,"['Dileep', 'Anusree', 'Namitha Pramod', 'Soubin Shahir']"
Ivide,"Crime, Drama","Ivide is a crime-drama starring Prithviraj Sukumaran who plays an investigation officer named Varun Blake. Nivin Pauly who is Krish Hebbar, a CIO of a leading Techie company. A string of ...See full summary»",Shyamaprasad,"['Prithviraj Sukumaran', 'Nivin Pauly', 'Bhavana', 'Christina Leidel']"
Ennum Eppozhum,"Comedy, Drama",An irresponsible journalist tries different way to interview a fiery lawyer who stood up for a social cause.,Sathyan Anthikad,"['Mohanlal', 'Manju Warrier', 'Innocent Vareed Thekkethala', 'Lena']"
Jilebi,"Comedy, Family",'Jilebi' is the story of a confrontation between villager Sreekuttan and his city-bred nephews. Sreekuttan has happily confined his life to his farm and his pet crops. There is a family ...See full summary»,Arun Shekar,"['Arun Shekhar', 'Jayasurya', 'Gourav Menon', 'Ramya Nambeeshan', 'Dharmajan Bolgatty']"
Nirnnayakam,"Drama, Family","Nirnayakam is a strong family drama dealing with a major social issue, shot at the National Defense Academy Pune, Mysore and Cochin. It is the story of a young man and the bond he shares with his parents.",V.K. Prakash,"['Asif Ali', 'Prem Prakash', 'Nedumudi Venu', 'Tisca Chopra']"
Kanal,"Action, Crime, Drama",The film revolves around two families hailing from the South Indian state of Kerala who have spent some important years of their lives in the Middle East.,M. Padmakumar,"['Mohanlal', 'Anoop Menon', 'Atul Kulkarni', 'Prathap Pothen']"
Rani Padmini,Adventure,The story revolves around two women Rani and Padmini who are on a journey from Kochi to Himachal Pradesh with different purposes.,Aashiq Abu,"['Manju Warrier', 'Rima Kallingal', 'Jinu Joseph', 'Sajitha Madathil']"
Loham,"Action, Thriller","A gold-smuggling deal goes awry, and an array of characters becomes involved.",Ranjith,"['Mohanlal', 'Andrea Jeremiah', 'Siddique', 'Ajmal Ameer']"
The Reporter,"Crime, Drama","When 6 people from different society are kidnapped, back to back, the police is mystified.",Venugopan,"['Abhinaya', 'Malavika Nair Ammu', 'Ananya', 'Meena Ganesh']"
Kohinoor,"Comedy, Thriller","The story develops during the 1987-88 period. It was a time when Mohanlal's 'Rajavinte Makan' and Mammootty's 'Athirathram' were such a rage among youth. Louis wishes to be like Vincent Gomas and Tharadas, the heroes in these movies.",Vinay Govind,"['Asif Ali', 'Indrajith Sukumaran', 'Aju Varghese', 'Chemban Vinod Jose']"
Sir C. P.,Drama,"Sir CP is a story about a fraud college owner who specializes in providing any degree, which is available in any university across the world, to his students. His work lands him in deep trouble and how he comes out of it forms the plot.",Shajoon Kariyal,"['Jayaram', 'Honey Rose', 'Vijayaraghavan', 'Hareesh Peradi']"
Rasam,Drama,"Menon decides to have a grand traditional Kerala sadya for his daughter's marriage. During the days of marriage arrangements, some unexpected events happened and the rest is plotted in the movie.",T. Rajeevnath,"['Indrajith Sukumaran', 'Nedumudi Venu', 'Mohanlal', 'Varuna Shetty']"
Unto the Dusk,Drama,"Compulsion from parents and relatives cause a youth to reach the seminary. Though pursuing the path of St. Francis of Assissi, the challenges and conflicts in life and seminary transforms ...See full summary»",Sajin Baabu,"['Sanal Aman', 'Shilpa Kavalam', 'Joseph Mapilasery', 'Prakriti Dutta Mukherjee']"
32aam Adhyayam 23aam Vaakyam,"Mystery, Thriller","A book gifted to a couple engraves ""23"" in the husband's (Freddy) mind and he starts seeing it everywhere. When he discovers a striking similarity of the story with people in his life, he starts investigating.",Arjun Prabhakaran,"['Gokul Ramakrishnan', 'Govind Padmasoorya', 'Miya George', 'Lal', 'P. Balachandran']"
Picket 43,"Drama, Thriller","The film deals with the story of an Indian army officer guarding a picket alone in Kashmir, and his friendship with a Pakistani soldier.",Major Ravi,"['Prithviraj Sukumaran', 'Jaaved Jaaferi', 'Renji Panicker', 'Sudheer Karamana']"
Salt Mango Tree,"Comedy, Family","The struggles of a middle-class couple to admit their 4-year old kid into a reputed school, which involves huge monetary donations, parent interviews, and other activities.",Rajesh Nair,"['Biju Menon', 'Lakshmi Priyaa Chandramouli', 'Suhasini', 'Kristian Varkichan']"
Ben,"Drama, Family",The story of a boy named Ben who enjoys his simple countryside life and is forced to move to a highly ranked school where he doesn't fit in. The rest of the movie shows how Ben is driven mentally insane by his selfish mother.,Vipin Atley,"['Gourav Menon', 'Suraj Venjaramoodu', 'Anjali Nair', 'Anwar']"
KL 10 Patthu,"Comedy, Family, Romance","The story of 'KL 10 Pathu' basically revolves around too many incidents like a Panchayath Election, a local football tournament final, and an eloping of the hero and heroine. What makes ...See full summary»",Muhsin Parari,"['Unni Mukundan', 'Chandini Sreedharan', 'Sreenath Bhasi', 'Saiju Kurup']"
Fireman,"Action, Adventure, Thriller","The leakage of a massive LPG tank causes a group of brave firemen, police and local people to put their life on the line when a total city evacuation is impossible because a prison lies in the radius.",Deepu Karunakaran,"['Mammootty', 'Nyla Usha', 'Unni Mukundan', 'Siddique']"
Love 24x7,Romance,A love story set in the backdrop of media.,Sreebala K. Menon,"['Dileep', 'Nikhila Vimal', 'Sreenivasan', 'Suhasini']"
Mariyam Mukku,Drama,"Felix lost his parents at a young age. Salomi, daughter of a white man from Portugese arrives with her father at Mariyam Mukku falls in love with Felix.",James Albert,"['Sana Altaf', 'Fahadh Faasil', 'Joy Mathew', 'Aju Varghese']"
ATM,"Action, Comedy, Drama",Add a Plot,Jespal Shanmughan,"['Kalasala Babu', 'Johny', 'Pradeep Kottayam', 'Lishoy']"
Thilothama,"Crime, Drama",Rosy is a woman of enchanting beauty who sings and dances in a 5 star hotel in the town. She happens to be an eyewitness to a murder that happens in the hotel.,Preethi Panikkar,"['Rachana Narayanankutty', 'Siddique', 'Manoj K. Jayan', 'Idavela Babu']"
Chirakodinja Kinavukal,Comedy,"After 18 years, Ambujakshan decides to make hear his 'Thayyalkaran-Sumathi' love story to a director and producer after amending and modifying it, in order to make it a 'New Generation Film'.",Santhosh Viswanath,"['Sreenivasan', 'Kunchacko Boban', 'Rima Kallingal', 'Joy Mathew']"
Samrajyam II: Son of Alexander,"Action, Crime, Thriller",The film is a sequel to evergreen Mammooty's gangster film Samrajyam that came out in 1990. The film plots the eventful life of Jordan who is forced to take charge of his father's empire after 23 years.,Perarasu,"['Unni Mukundan', 'Devan', 'K.C. Shankar', 'Akanksha Puri']"
Lord Livingstone 7000 Kandi,"Adventure, Thriller",Film features the story of a group of people and their adventures to protect a village which is under exploitation by trade groups,Anil Radhakrishnan Menon,"['Kunchacko Boban', 'Bharath Srinivasan', 'Sunny Wayne', 'Nedumudi Venu']"
My God,Drama,"Sam Thottunkal, the younger son of Thomas Scaria and Zareena is a teenager, is an introvert. It is when Sam's life becomes more and more complicated, he gets acquainted with Adiraja. Movie narrates the resulting events in the life of Sam.",M. Mohanan,"['Suresh Gopi', 'Honey Rose', 'Adarsh Nair', 'Sreenivasan']"
Utopiayile Rajavu,Drama,"Swathanthran is an innocent, honest young man from the village of Kokrangara. This film depicts the current social and political scenarios of Kerala in a humorous way.",Kamal,"['Mammootty', 'Jewel Mary', 'Joy Mathew', 'S.P. Sreekumar']"
Rudra Simhasanam,"Action, Thriller",Suresh Gopi's character name in this film is Rudra Simhan who is a yogi who gave up all worldly pleasures by listening to the call of his soul. When he comes back to his homeland after a long journey he comes in to the life of Haimavathi.,Shibu Gangadharan,"['Suresh Gopi', 'Nikki Galrani', 'Nedumudi Venu', 'Shweta Menon']"
Jamna Pyari,"Comedy, Drama","Vasoottan an auto driver by profession, who is very good at heart and meanwhile he is an impetuous person. Once a MBA student happens to travel his auto with some hidden purposes.",Thomas K. Sebastian,"['Kunchacko Boban', 'Gayathri Suresh', 'Joy Mathew', 'Suraj Venjaramoodu']"
Nee-Na,Drama,A married couple finds tension in their relation and life due to the intervention of an alcoholic and impulsive young woman.,Lal Jose,"['Deepti Sati', 'Vijay Babu', 'Ann Augustine', 'Jennifer Antony']"
St. Marysile Kolapathakam,"Crime, Mystery","Pooja and Meera stay at St Mary's Working Women's Hostel. One day when they reach the hostel after work, they are welcomed with the shocking news of a murder.",H.N. Shijoy,"['Sudheer Karamana', 'Aparna Nair', 'Sreejith Vijay', 'Poojitha Menon']"
Kaliyachan,Drama,"The only way to become a great Kathakali dancer is to follow your master. Individual excellence is nothing compared to the devotion to the Master, which the protagonist learns too late in life.",Farook Abdulrahiman,"['Manoj K. Jayan', 'M.P.S. Naboodiri Kalamandalam', 'Manikandan', 'Tirrtha Murbaadkar']"
Jo and the Boy,Drama,An aspiring animation creator's dreams start coming true when she is met with a charismatic young boy.,Rojin Thomas,"['Manju Warrier', 'Sanoop Santhosh', 'Lalu Alex', 'Kiran Aravindakshan']"
Nellikka,"Musical, Thriller","Nellikka is a comedy romantic movie directed by Bijith Bala, starring Atul Kulkarni, Deepak Parambol, Sija Rose and Bhagath Manuel in the lead roles.",Bijith Bala,"['Deepak Parambol', 'Atul Kulkarni', 'Sashi Kumar', 'Parveen']"
Rockstar,"Drama, Musical","Ananth is very passionate about music in his life. Quite unexpectedly, in one of his music trips, he comes across fashion stylist Athira. They have varied perspective, attitude, and vision about life.",V.K. Prakash,"['Siddharth Menon', 'Eva Pavithran', 'Anumol K. Manoharan', 'Mallika Sukumaran']"
Oru Second Class Yathra,Drama,Two Police Constables with a prisoner in search of an escaped prisoner while conveying from Kannur to Trivandrum.,Jexson Antony,"['Rejis Antony', 'Vineeth Sreenivasan', 'Chemban Vinod Jose', 'Nikki Galrani', 'Joju George']"
You Too Brutus,"Comedy, Drama","Arun, Tovino and Vicky are bachelors who lead a carefree life. However, their lives are turned upside down when they fall in love with three young women.",Roopesh Peethambaran,"['Asif Ali', 'Sreenivasan', 'Honey Rose', 'Anu Mohan']"
Onnam Loka Mahayudham,Thriller,"A doctor, a police officer and a bunch of gangsters are involved in a deal worth 40 million, which goes awry.",Sree Varun,"['Aparna Gopinath', 'Tovino Thomas', 'Chemban Vinod Jose', 'Joju George']"
Acha Dhin,Drama,"Set in the backdrop of God's own country, Kerala, Acha Din is the story of a family from Jharkhand who is now settled in Ernakulam, the buzzing business hub of Kerala.",G. Marthandan,"['Mammootty', 'Mansi Sharma', 'Kishore Kumar G.', 'Renji Panicker']"
Njaan Samvidhanam Cheyyum,"Drama, Family","Krishna Das (Balachandra Menon) is a man who passionately loves movies. It's family story about a father, mother and a daughter.",Balachandra Menon,"['Sreedhanya', 'Dakshina', 'Anjana Appukuttan']"
White Nights,"Drama, Mystery","Velutha Rathrikal (White Nights) is an independent cinematic adaptation of the eponymous novel by Fyodor Dostoyevsky. Manu is an artist in search of a new sky, from his troubled past, in a ...See full summary»",Razi Muhammed,['Disney James']
Kanthari,Drama,'Kanthari' is a movie which takes a peek at certain social issues and the film focuses on individuals who are not accepted by the mainstream society.,Ajmal,"['Rachana Narayanankutty', 'Sekhar Menon', 'Sreejith Ravi', 'Thalaivasal Vijay']"
Alif,Drama,"The four generations of women in the film are identical sufferers, and when two of them rise in revolt, it speaks for millions of women out there, from all castes and creeds, who will be subjected to a lifetime of desolation and gloom.",N.K. Muhammed Koya,"['Lena', 'Zeenath', 'Joy Mathew', 'Kalabhavan Mani']"
White Boys,Drama,Add a Plot,Melila Rajasekharan,"['Kaushik Babu', 'Joy Mathew', 'Shobha Mohan', 'Anjali Nair']"
Rajamma @ Yahoo,"Comedy, Drama","2 brothers, Michael Rajamma aka Rajamma and Vishnu Yohannan aka Yahoo are born to an inter caste couple. After sudden demise of their parents they live in a bungalow and later the duo plans to rent out their bungalow to different families.",Reghu Rama Varma,"['Kunchacko Boban', 'Asif Ali', 'Nikki Galrani', 'Anusree']"
Akkaldhamayile Pennu,Drama,"Movie narrates the story of three generations of women who have lived in Akkaldama, protagonist Xavi's wife Anges, her daughter Maria and granddaughter - who are the representatives of the times they grew up in.",Jayaram Kailas,"['Shweta Menon', 'Malavika Nair', 'Vineeth', 'Malavika Nair Ammu']"
Ithinumappuram,Drama,The story focuses on a woman who marries a man against the wishes of her family only to have him leave her. Will she succeed in bringing up her family all by herself while working at the same factory as her husband?,Manoj Alunkal,"['Lalu Alex', 'Kalasala Babu', 'Meera Jasmine', 'Riyaz Khan']"
John Honai,Comedy,John has an accident with a rich merchant named Devanarayanan and walks away with a blank cheque. John and his friends Jaffer and Janardhanan use the cheque to take a holiday trip in Dubai.,T.A. Thaufeek,"['Ansiba', 'Ashokan', 'Zahil Haris', 'Jagadish']"
Ellam Chettante Ishtam Pole,"Comedy, Drama",Add a Plot,K.K. Haridas,"['Manikandan', 'Charulatha', 'Sasi Kalinga', 'Sunil Sukhada']"
Thinkal Muthal Velli Vare,Drama,"Jayadevan is a most-wanted writer in the Malayalam Television industry, who pens the scripts for all major soap operas. Marriage brings a lot of changes to Jayadevan's life, and this forms the crux of the story.",Kannan Thamarakkulam,"['Jayaram', 'Rimi Tomy', 'Janardanan', 'Anoop Menon']"
Nikkah,Drama,Add a Plot,Azad Alavil,"['Sreenath Bhasi', 'Roji P. Kurian', 'Sekhar Menon', 'Samskruthy Shenoy']"
Village Guys,Comedy,Add a Plot,Shaan,"['Ashokan', 'Deepthi', 'Nirmal Jacob', 'Haneesh Khani']"
She Taxi,Romance,"A movie which portrays the role of women in fields men dominate, the movie emphasizes on woman as taxi drivers.",Saji Surendran,"['Anoop Menon', 'Kavya Madhavan', 'Sheelu Abraham', 'Ansiba']"
Onnum Onnum Moonnu,Family,Onnum Onnum Moonu' set in the backdrop of Alappuzha picturizes the scenic beauty of Alappuzha and Kuttanadu. 'Onnum Onnum Moonu' hilariously narrates the goof ups of Alexander who comes to ...See full summary»,Sreekanth Vs,"['Arun', 'Leona Lishoy', 'Kalabhavan Mani', 'Said Alharbi']"
Saigal Padukayanu,"Drama, Musical","The movie revolves around Chandra Babu, who has a great passion for music which he has inherited from his father.",Sibi Malayil,"['Shine Tom Chacko', 'Ramya Nambeeshan', 'Hareesh Peradi', 'Sithara']"
Urumbukal Urangarilla,"Comedy, Crime, Drama","Kelu and Benny, who are thieves, meet accidentally in their walks of life. They face many challenges as they go around to steal.",Jiju Asokan,"['Vinay Forrt', 'Chemban Vinod Jose', 'Aju Varghese', 'Innocent Vareed Thekkethala']"
Lokha Samastha,Drama,The unexpected death of Sarath's father and the later incidents forms the plot of the movie.,Sajith Sivan,"['Anu Mohan', 'Poojitha Menon', 'Kalabhavan Mani', 'Ganesh Kumar']"
Ilamveyil,Drama,Add a Plot,Shiju Balagopalan,"['Deekshith Dileep', 'Jayalakshmi', 'Sumith Raghav']"
Kerala Today,Drama,Add a Plot,Kapil Chazhoor,"['Iti Acharya', 'Anusree', 'Chempil Asokan', 'Trichur Elsi']"
Sand City,Family,Add a Plot,Shankar,"['Gautam', 'Jaise Jose', 'Prajiinn', 'Tejaswini Prakash']"
Roopantharam,"Drama, Family","Eyes are only mere instruments, experiences stored in the mind results in seeing them.",M.B. Padmakumar,"['Kochu Preman', 'Bharath Chand', 'Sona Nair']"
Namukkore Aakasham,Drama,Add a Plot,Pradeep Mullanezhi,"['Shivaji Guruvayoor', 'Indrans', 'Irshad', 'Madampu Kunjukuttan']"
3 Wickettinu 365 Runs,Comedy,Add a Plot,K.K. Haridas,"['Jagathy Sreekumar', 'Ajaykumar', 'Harisree Ashokan', 'Augustine']"
Kukkiliyar,Drama,Add a Plot,Nemom Pushparaj,"['Mala Aravindan', 'Prakash Bare', 'Indrans', 'Manoj K. Jayan']"
Kalyanism,Drama,"Sanal faces many challenges when it becomes hard for him to pay back his debts. Will he be able to lead a happy life with his wife, Kalyani?",Anuram,"['Ananya', 'Kailash', 'Mukesh', 'Sphadikam George']"
Juzt Married,"Drama, Romance",Add a Plot,Sajan Johny,"['Sreeram Ramachandran', 'Viviya Santh', 'Jayan Cherthala', 'Ponnamma Babu']"
Lavender,"Action, Drama","A tragic love triangle involving a young painter, an Interpol detective, and a professional hit-man.",Altas T. Ali,"['Rahman', 'Elham Mirza', 'Nishan', 'Anoop Menon']"
Viswasam Athalle Ellam,"Comedy, Drama","Luca, a police officer, is always worried about his wastrel son, Jomon. Jomon faces many challenges when he decides to prove his talents in front of his father.",Jayaraaj Vijay,"['Shine Tom Chacko', 'Shankar', 'Archana Jayakrishnan', 'Ansiba']"
Compartment,Drama,Add a Plot,Salim Kumar,"['Suresh Gopi', 'K.P.A.C. Lalitha', 'Kalabhavan Mani']"
Kadhayulloru Pennu,Drama,Add a Plot,P. Musthafa,"['E.K. Nuzarath Jahan', 'Ishanth Sukumaran', 'Shajith Thikkodi']"
One Second Please,Family,Add a Plot,Joshy John,[]
Shavam,Drama,Thomas Ittikkora is dead. Family and friends gather at his home for the pre-funeral ceremonies.,Don Palathara,"['Baiju Balan', 'Francis Borgia', 'Deepa Divakar', 'Stanly Edattukaran']"
Aana Mayil Ottakam,Drama,An anthology narrating three unrelated short stories.,Jayakrishnan,"['Anil Sign', 'Chempil Asokan', 'Kalabhavan Haneef', 'Indrans', 'Santhosh Keezhattoor']"
Mumbaai Taxi,"Crime, Thriller",A group of Police Officers get information that a bomb is going to explode in Mumbai city. Will they be able to save the lives of innocent people?,Fazil Basheer,"['Badusha', 'Joju George', 'Shivaji Guruvayoor', 'Babu Jose']"
Monsoon,Thriller,Anas who dreams to become a Film director Meets varsha on a journey. Later they become friends. But later many problems comes. FINALLY varsha helps Anas to Solve the issues and Become his dreams come true,Suresh Gopal,"['Lalu Alex', 'Aisha Azim', 'Indrans', 'John Jacob']"
Moonnaam Naal,Drama,Add a Plot,Prakash Kunjan,"['Bijukuttan', 'Shivaji Guruvayoor', 'Jaffer Idukki', 'Indrans']"
Uthara Chemmeen,Family,Add a Plot,Benny Asamsa,"['Jose Adhya', 'Ansiba', 'Ponnamma Babu', 'Byon']"
Karie,"Comedy, Drama, Family","Karie means Black. While there are tonal variations in culture across the southern multicultural, multi-religious Indian state called Kerala, one thing that remains unchanged is the caste ...See full summary»",Naranipuzha Shanavas,['Rammohan Ravindran']
8th March,"Drama, Thriller",The central question of this film is whether the perpetrators of gender violence will get their comeuppance.,Albert Antony,"['Baburaj', 'Rahul Madhav', 'Vishnu', 'Ekatrina']"
Rasputin,"Comedy, Drama","Sushee falls in head-over-heels in love with Smitha, an escort whom his friend, Rad, introduces him to. However, when Sushee decides to pursue her in another city, he and Rad get in trouble.",Jinuji Daniel,"['Vinay Forrt', 'Sreenath Bhasi', 'Aju Varghese', 'Joy Mathew']"
Thaarakangale Saakshi,Drama,"The movie tells the story of Jayakumar Narayan, a youngster who has the dream of creating a classic movie. Jayakumar sacrifices his professional and personal life to achieve his passion. ...See full summary»",Gopakumar Narayanapillai,"['Arun', 'Kalasala Babu', 'Balachandran Chullikadu', 'Ganapathi']"
One Day,Thriller,This is a crime investigation story about a missing child.,Sunil v Panicker,"['Kalasala Babu', 'Disha Dinakar', 'Noby Marcose', 'Madan Mohan']"
Ammakkoru Tharattu,Drama,"Decades ago, Sulakshana and Joseph were in love. Though separated now, the past keeps haunting them and the memories never fade. How mistreatment from her children brings them back together at old age forms the crux of the story",Sreekumaran Thampi,"['Niyas Backer', 'Lakshmi Gopalaswamy', 'Indrans', 'Madhu']"
Vidooshakan,Drama,Add a Plot,T.K. Santosh,"['P. Balachandran', 'Indrans', 'Sasi Kalinga', 'Surabhi Lakshmi']"
Njan Ninnodu Koodeyundu,Drama,'Njan Ninnodu Koodeyundu' narrates the interesting incidents in the life of two thieves who absconds after theft.,Priyanandanan,"['Sidharth Bharathan', 'Vinay Forrt', 'Favour Francis', 'Jaise Jose']"
1000: Oru Note Paranja Katha,Comedy,"An autistic youngster is sent to the ATM by his dad with the Pin number written on a 1000 rupee currency note. The currency note, that has started a voyage of its own, starts telling us its story, as it moves from one hand to the next.",A.R.C. Nair,"['Anju Aravind', 'Leema Babu', 'Byon', 'Kalaranjini']"
Swargathekkal Sundaram,Drama,Add a Plot,Manoj Aravindakshan,"['Sreenivasan', 'Lal', 'Joy Mathew', 'Mythili']"
Rich N Famous,Action,Add a Plot,Anoop Mohan,"['Sanjjanaa Galrani', 'Maqbool Salmaan']"
Wind and Rain,"Drama, Family",The film is based on a true incident which happened in North Kerala. The film has so much social importance in contemporary India,Harikumar,"['Lal', 'Unni Mukundan']"
Budhiparamaaya Neekkam,Romance,"Budhiparamaaya Neekkam is a romantic film written and directed by Vinod Narayanan after his acclaimed film ""Govindan Kutty thirakilanu"". The story of the film was said to be ""very much associated with the culture"" of Trivandram town.",Vinod Narayanan,"['Amrita', 'Saran']"
